,Title,Sub Title,Address,Start Date,End Date,Train Target
0,2024년_공동훈련센터형_수동용접(CO2용접)_L2_22V2_(주)포스코_(주)파인스,(주)포스코 미래창조아카데미,경북 포항시 남구,2025-01-01,2025-12-31,공동훈련센터형
1,2024년_공동훈련센터형(재직자)_산업보건관리_L3_20V1_한국폴리텍대학 포항캠퍼스_포항일자리창출시니어클럽,한국폴리텍 Ⅵ대학 포항캠퍼스,경북 포항시 남구,2025-01-01,2025-12-31,공동훈련센터형
2,(과정연계)_2024년_도제_CNC밀링가공_L3_22V2_서산공업고등학교_주식회사 도스코,천안공업고등학교,충남 아산시,2025-01-01,2026-02-28,도제학교
3,2024년_대학(2년/4년) 연계형_매장판매_L5_20V1_중부대학교_(주)글로벌휴먼스,중부대학교,서울 영등포구,2025-01-02,2026-02-28,공동훈련센터형
4,2024년_공동훈련센터형_생산관리_L3_22V2_한국폴리텍대학아산캠퍼스_비엔케이 주식회사,한국폴리텍대학 아산캠퍼스,충남 천안시 서북구,2025-01-02,2026-01-01,공동훈련센터형
5,2024년_재직자_세무·회계정보관리_L3_22V2_한양여자대학교_(주)오르비텍,한양여자대학교(일학습병행제),서울 영등포구,2025-01-02,2026-07-01,공동훈련센터형
6,2024년_공동훈련센터형_의료코디네이터_L3_20V1_우송정보대학_세명요양병원,우송정보대학,대전 중구,2025-01-02,2025-12-31,공동훈련센터형
7,2024년_공동훈련센터형_요양보호_L2_20V1_구미대학교_조아재활전문실버타운,구미대학교,경북 구미시,2025-01-02,2026-01-01,공동훈련센터형
8,2024년_공동훈련센터형_요양보호_L2_20V1_구미대학교_낭만백세재가노인복지센터,구미대학교,경북 구미시,2025-01-02,2026-01-01,공동훈련센터형
9,2022년_공동훈련센터형_영업_L3_22V2_한국해양대학교_(주)후지글로벌로지스틱,국립한국해양대학교,경남 창원시 진해구,2025-01-02,2026-04-01,공동훈련센터형
10,2024년_공동훈련센터형_기초석유화학제품제조_L3_20V1_한국폴리텍7대학 울산캠퍼스_(주)이수스페셜티케미컬,한국폴리텍대학울산캠퍼스,울산 울주군,2025-01-02,2026-01-01,공동훈련센터형
11,2023년_재직자_전기기기제작_L2_20V1_부산폴리텍_(주)티에스이,한국폴리텍7대학부산캠퍼스,부산 기장군,2025-01-02,2026-01-01,공동훈련센터형
12,2023년_공동훈련센터형_요양보호_L2_20V1_구미대학교_마루실버타운,구미대학교,경북 김천시,2025-01-02,2026-01-01,공동훈련센터형
13,2021년_의료코디네이터_L3_20V1_광주대학교_광주새우리병원,광주대학교,광주 서구,2025-01-02,2026-01-01,공동훈련센터형
14,2021년_(재직자)_요양보호_L2_20V1_구미천사요양원,구미대학교,경북 구미시,2025-01-02,2026-01-01,공동훈련센터형
15,2021년_(재직자)_요양보호_L2_20V1_(주)참사랑,구미대학교,경북 구미시,2025-01-02,2026-01-01,공동훈련센터형
16,2021년_(재직자)_요양보호_L2_20V1_금빛가족노인복지센터,구미대학교,경북 구미시,2025-01-02,2026-01-01,공동훈련센터형
17,2021년_(재직자)_요양보호_L2_20V1_노인요양시설엔젤,구미대학교,경북 구미시,2025-01-02,2026-01-01,공동훈련센터형
18,2021년_의료코디네이터_L3_20V1_광주대학교_광주새우리병원,광주대학교,광주 서구,2025-01-02,2026-01-01,공동훈련센터형
19,2021년_비파괴검사관리_L3_20V1_서울검사_서부사무소,단독기업,충남 서산시,2025-01-02,2026-01-01,단독기업형
20,2021년_의료코디네이터_L3_20V1_광주대학교_광주새우리병원,광주대학교,광주 서구,2025-01-02,2026-01-01,공동훈련센터형
21,(단순변경)_2024년_IPP_수질관리_L5_20V1_순천향대학교_금강엔지니어링(주)_전의사업소,(학)순천향대학,세종 세종,2025-01-02,2025-02-28,IPP
22,2024년_재직자_영업_L3_22V2_국립한국해양대학교_아토무역,국립한국해양대학교,부산 서구,2025-01-03,2026-04-02,공동훈련센터형
23,(단순변경)_2024년_P-Tech(PBL)_양식조리_L4_20V1_배화여자대학교_(주)에렉스,배화여자대학교 산학협력단,서울 송파구,2025-01-03,2026-02-28,P-TECH
24,2023년_공동훈련센터형_품질경영_L3_22V2_대구대학교_삼양연마공업주식회사,대구대학교 산학협력단,경북 영천시,2025-01-03,2026-01-02,공동훈련센터형
25,2023년_공동훈련센터형_품질경영_L3_22V2_한국폴리텍6대학산학협력단영주지소_주식회사 길부스틸,한국폴리텍VI대학영주캠퍼스,경북 안동시,2025-01-03,2026-01-02,공동훈련센터형
26,2024년_공동훈련센터형_시각디자인_L3_22V2_한국폴리텍대학아산캠퍼스_두잉,한국폴리텍대학 아산캠퍼스,충남 천안시 서북구,2025-01-03,2026-01-02,공동훈련센터형
27,2023년_재직자_품질경영_L3_22V2_한국해양대학교_파나시아2공장,국립한국해양대학교,부산 강서구,2025-01-04,2025-04-03,공동훈련센터형
28,2023년_재직자_전산응용기계설계_L2_22V2_한국해양대학교_(주)파나시아,국립한국해양대학교,부산 강서구,2025-01-04,2025-04-03,공동훈련센터형
29,2023년_재직자_품질경영_L3_22V2_한국해양대학교_(주)파나시아,국립한국해양대학교,부산 강서구,2025-01-04,2025-04-03,공동훈련센터형
30,2024년_재직자_총무·인사_L3_24V2_한양여자대학교_(주)동해종합기술공사,한양여자대학교(일학습병행제),서울 강동구,2025-01-06,2026-07-05,공동훈련센터형
31,2024년_공동훈련센터형_지게차조종_L2_20V1_한국폴리텍대학 포항캠퍼스_(주)인텍,한국폴리텍 Ⅵ대학 포항캠퍼스,경북 포항시 북구,2025-01-06,2026-07-05,공동훈련센터형
32,2024년_재직자_e-비지니스_L3_24V2_국립한국해양대학교_(주)KS한국고용정보,국립한국해양대학교,부산 동구,2025-01-06,2026-04-05,공동훈련센터형
