기관명,특별시도,주소,위도,경도,지역
청주고용센터,충청북도,충청북도 청주시 서원구 1순환로 642(사창동),36.634542080000,127.460301000000,충청북도 청주시
(주)맥시머스_청주지점,충청북도,충청북도 청주시 서원구 1순환로 666(사창동) 아트타워 4층,36.606122960000,127.493299500000,충청북도 청주시
(주)제니엘청주센터,충청북도,충청북도 청주시 흥덕구 2순환로 1240(강서동) 601호,36.629488550000,127.427737200000,충청북도 청주시
(주)제이비컴,충청북도,충청북도 청주시 상당구 북문로2가 사직대로 379(북문로2가) 3층 2호,36.637085100000,127.490029800000,충청북도 청주시
(주)제이비컴 충청지사,충청북도,충청북도 청주시 흥덕구 강내면 월곡길 10-4 2층,36.623601094078,127.369046029754,충청북도 청주시
(주)지에스씨넷청주지점,충청북도,충청북도 청주시 서원구 사직대로 95(사창동) 4층,36.635537450000,127.473929800000,충청북도 청주시
일하는공동체청주취업지원센터,충청북도,충청북도 청주시 흥덕구 서현북로 81(가경동) 503호,36.620228850000,127.426674200000,충청북도 청주시
스탭스(주)청주센터,충청북도,충청북도 청주시 서원구 1순환로 652-1(사창동) 3층,36.606122960000,127.493299500000,충청북도 청주시
(사)일하는공동체,충청북도,충청북도 청주시 상당구 북문로2가 상당로 156(북문로2가) 5층(구 청주시청 맞은편 버스정류장 옆),36.635148200000,127.490173200000,충청북도 청주시
행복잡고_청주점,충청북도,충청북도 청주시 상당구 교동로 9(수동) 4층,36.635789020000,127.502914000000,충청북도 청주시
옥천고용센터,충청북도,충청북도 옥천군 옥천읍 삼양로8길 4,36.303946330000,127.569670400000,충청북도 옥천군
(주)지에스씨넷옥천지점,충청북도,충청북도 옥천군 옥천읍 중앙로 61-1 2층,36.302637259243,127.569841261479,충청북도 옥천군
진천고용센터,충청북도,충청북도 진천군 덕산읍 자안로 9 삼영프라자 4층 402-403호,36.904158770769,127.534592115202,충청북도 진천군
제천고용센터,충청북도,충청북도 제천시 내토로 441(화산동),37.131700070000,128.201549400000,충청북도 제천시
(주)제이비컴 제천지사,충청북도,충청북도 제천시 풍양로 65(의림동) 4층,37.138126390000,128.208576900000,충청북도 제천시
충주고용센터,충청북도,충청북도 충주시 국원대로 13(문화동),37.008315340000,127.932012300000,충청북도 충주시
(주)제이비커리어 충주,충청북도,충청북도 충주시 계명대로 227(연수동) 3층,36.982793350000,127.939893600000,충청북도 충주시
행복잡고,충청북도,충청북도 충주시 중앙로 3(문화동) 3층,36.972813800000,127.925250500000,충청북도 충주시
한국고용지원센터,충청북도,충청북도 충주시 국원대로 7(문화동) 3층,37.008315340000,127.932012300000,충청북도 충주시
음성고용센터,충청북도,충청북도 음성군 금왕읍 무극로 213 승덕빌딩 2층,36.991299558663,127.585597345107,충청북도 음성군
행복잡고_음성점,충청북도,충청북도 음성군 금왕읍 무극로 213 3층 6호,36.991299558663,127.585597345107,충청북도 음성군
논산고용센터,충청남도,충청남도 논산시 시민로210번길 14-8(내동),36.186216370000,127.097516300000,충청남도 논산시
(주)제이비컴 논산지사,충청남도,충청남도 논산시 중앙로410번길 6(취암동) 5층,36.202036150000,127.089635400000,충청남도 논산시
공주고용센터,충청남도,충청남도 공주시 번영1로 46(신관동) 스타타워 4층,36.473566950000,127.136966500000,충청남도 공주시
인지어스유한회사 공주지사,충청남도,충청남도 공주시 번영1로 46(신관동) 3층,36.473566950000,127.136966500000,충청남도 공주시
금산고용센터,충청남도,충청남도 금산군 금산읍 인삼로 70 KT빌딩 1층,36.102311279108,127.489296417486,충청남도 금산군
천안고용센터,충청남도,"충청남도 천안시 서북구 동서대로 163(성정동) 2~5층, 9층",36.825696320000,127.130150000000,충청남도 천안시
(주)제이비커리어 천안센터,충청남도,충청남도 천안시 서북구 1공단1길 52(두정동) 339호,36.832388450000,127.147944200000,충청남도 천안시
(주)제이비컴 천안지사,충청남도,충청남도 천안시 서북구 서부5길 16(성정동) 201호,36.824648430000,127.142190600000,충청남도 천안시
(주)제이엠커리어 천안지사,충청남도,충청남도 천안시 동남구 대흥로 333(신부동) 4층 1호,36.803942760000,127.146368800000,충청남도 천안시
(주)조인스잡 천안지사,충청남도,충청남도 천안시 동남구 충절로 7(신부동) 8층,36.767473140000,127.323373300000,충청남도 천안시
(주)커리어넷 천안지사,충청남도,충청남도 천안시 동남구 만남로 40(신부동) 601호,36.820024700000,127.160408500000,충청남도 천안시
인지어스(유)천안지사,충청남도,충청남도 천안시 서북구 쌍용19로 21(쌍용동) 206호,36.794920600000,127.122389500000,충청남도 천안시
인지어스(유)당진지사,충청남도,충청남도 당진시 밤절로 140(수청동) 802호,36.901705600000,126.637618300000,충청남도 당진시
(주)한국커리어잡스,충청남도,충청남도 천안시 서북구 성정두정로 12(성정동) 306호,36.836099060000,127.141932300000,충청남도 천안시
스탭스(주) 천안센터,충청남도,충청남도 천안시 동남구 만남로 6(신부동) 701호,36.820024700000,127.160408500000,충청남도 천안시
아산고용센터,충청남도,"충청남도 아산시 시장길 29(온천동) 아산시민문화복지회관(지상 2,4층)",36.783403710000,127.002330800000,충청남도 아산시
(주)제이비커리어 아산센터,충청남도,충청남도 아산시 충무로 22(온천동) 7층,36.783081950000,127.005114700000,충청남도 아산시
(주)조인스잡 아산지사,충청남도,충청남도 아산시 온양역길 98(온천동) 3층,36.779802602246,127.004222916513,충청남도 아산시
당진고용센터,충청남도,충청남도 당진시 당진중앙1로 59(읍내동) 2층,36.899177860000,126.638546900000,충청남도 당진시
예산고용센터,충청남도,충청남도 예산군 예산읍 군청로1길 20 더예당 2층,36.679835328993,126.845478887628,충청남도 예산군
보령고용센터,충청남도,충청남도 보령시 보령남로 26(명천동),36.332768710000,126.600656900000,충청남도 보령시
(주)제이엠커리어 홍성지사,충청남도,충청남도 홍성군 홍성읍 의사로 40 301호,36.601007609045,126.671302874119,충청남도 홍성군
부여고용센터,충청남도,충청남도 부여군 부여읍 신동엽길 6 성모의원 3층,36.277458188626,126.910200148962,충청남도 부여군
서천고용센터,충청남도,충청남도 서천군 서천읍 충절로109번길 25,36.075026190000,126.695263300000,충청남도 서천군
홍성고용센터,충청남도,충청남도 홍성군 홍성읍 법원로 37,36.599727330000,126.652024000000,충청남도 홍성군
서산고용센터,충청남도,충청남도 서산시 호수공원1로 22(석남동),36.771861707528,126.452379188018,충청남도 서산시
인지어스(유) 서산지사,충청남도,충청남도 서산시 호수공원5로 31(예천동) 5층,36.774241350000,126.449693800000,충청남도 서산시
태안고용센터,충청남도,충청남도 태안군 태안읍 동백로 336 태광빌딩 2층,36.746667407264,126.306525468742,충청남도 태안군
