,지역,구,제목,사업체명,교육업체,사업유형,계획인원,참여인원,기간,접수여부
0,광주광역시,광산구,보육업 9개월이상 계속고용, 이지어린이집,베스트노인복지센터,현장실습훈련 지원,2,0,2024-03-06 ~ 2040-03-09,접수중
1,광주광역시,남구,한방병원 시니어인턴십 3개월 운영후 계속고용계획, 해솔한방병원,노후를돕는사람들,현장실습훈련 지원,5,0,2025-04-11 ~ 2025-12-31,접수중
2,광주광역시,동구,클린환경, 광주동구시니어클럽,광주동구시니어클럽,공동체사업단,60,45,2025-01-02 ~ 2025-12-31,접수중
3,경기도,과천시,제조업 시니어인턴십3개월운영후계속고용, 하나에너텍AS,사단법인 광주전남여성벤처협회,현장실습훈련 지원,5,0,2025-01-01 ~ 2025-12-30,접수중
4,경상남도,창원시 마산합포구,어린이집 시니어인턴십3개월운영후계속고용, 밝은숲어린이집,사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
5,경상북도,고령군,제조업 시니어인턴십3개월운영후계속고용, 한성에너텍주식회사,사단법인 광주전남여성벤처협회,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-30,접수중
6,광주광역시,광산구,제조업 시니어인턴십3개월운영후계속고용, 이에스글로벌주식회사,사단법인 광주전남여성벤처협회,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-30,접수중
7,광주광역시,광산구,어린이집 시니어인턴십3개월운영후계속고용, 사회복지법인선창어린이집,사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
8,광주광역시,광산구,어린이집 시니어인턴십3개월운영후계속고용, 해솔빛어린이집,사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
9,광주광역시,광산구,사회복지서비스 시니어인턴십 3개월 운영 후 계속고용, 참뜻주야간보호센터,사단법인 광주전남여성벤처협회,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-30,접수중
10,광주광역시,광산구,운수업[택시] 시니어인턴십3개월운영후계속고용, (유)서광교통,사단법인 광주전남여성벤처협회,현장실습훈련 지원,10,0,2025-01-01 ~ 2025-12-30,접수중
11,광주광역시,광산구,택시 시니어인턴십 3개월 운영 후 신규고용, 한국택시광주협동조합,광주북구시니어클럽,현장실습훈련 지원,15,0,2025-01-01 ~ 2025-06-30,접수중
12,광주광역시,광산구,운수업 시니어인턴십3개월운영후계속고용, 주식회사뽀빠이로지스,사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
13,광주광역시,광산구,어린이집 시니어인턴십3개월운영후계속고용, 첨단영재어린이집,사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
14,광주광역시,광산구,제조업 시니어인턴십3개월운영후계속고용, 주식회사가은솔루션,사단법인 광주전남여성벤처협회,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-30,접수중
15,광주광역시,광산구,식품제조업 시니어인턴십3개월운영후계속고용, 주식회사참든건강과학농업회사법인(지점),사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
16,광주광역시,광산구,시니어 고용촉진 인턴종료 후 계속고용예정, (주)지아이티,한국노인인력개발원 광주전남지역본부,현장실습훈련 지원,2,0,2025-04-11 ~ 2025-12-31,접수중
17,광주광역시,광산구,제조업 시니어인턴십3개월운영후계속고용, 대동테크주식회사,사단법인 광주전남여성벤처협회,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-30,접수중
18,광주광역시,광산구,어린이집 시니어인턴십3개월운영후계속고용, (복)세화어린이집,사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
19,광주광역시,광산구,제조업 시니어인턴십3개월운영후계속고용, (주)현대코리안,사단법인 광주전남여성벤처협회,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-30,접수중
20,광주광역시,광산구,어린이집 시니어인턴십3개월운영후계속고용, 하늘마음어린이집,사단법인 광주전남여성벤처협회,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-30,접수중
21,광주광역시,광산구,"- 제조업(알루미늄, 전자부품) - 60세 이상 자 채용 후 계속 고용", (주)삼우전자,인지어스 유한회사 광주지사,현장실습훈련 지원,3,0,2025-02-04 ~ 2025-12-31,접수중
